run,pipes,stages,samples,max_copy,scheduler,buffer,sync,time
1,6,23,200000000,512,smol1,circ,async,57.202248472
1,6,23,200000000,512,smol1,circ,sync,52.759417178
1,6,23,200000000,512,smoln,circ,async,24.036847895
1,6,23,200000000,512,smoln,circ,sync,23.179071969
1,6,3,200000000,512,flow,circ,async,3.19102811
1,6,3,200000000,512,flow,circ,sync,2.986433303
1,6,3,200000000,512,smol1,circ,async,10.725211746
1,6,3,200000000,512,smol1,circ,sync,10.25972119
1,6,3,200000000,512,smoln,circ,async,5.177095936
1,6,3,200000000,512,smoln,circ,sync,5.049762701
1,6,5,200000000,512,flow,circ,async,4.150063371
1,6,5,200000000,512,flow,circ,sync,3.852121596
1,6,5,200000000,512,smol1,circ,async,15.065732225
1,6,5,200000000,512,smol1,circ,sync,14.303365338
1,6,5,200000000,512,smoln,circ,async,7.026169793
1,6,5,200000000,512,smoln,circ,sync,6.873028015
1,6,7,200000000,512,flow,circ,async,5.432725374
1,6,7,200000000,512,flow,circ,sync,5.297378449
1,6,7,200000000,512,smol1,circ,async,19.434420847
1,6,7,200000000,512,smol1,circ,sync,18.167823915
1,6,7,200000000,512,smoln,circ,async,8.89225296
1,6,7,200000000,512,smoln,circ,sync,8.658235837
1,6,9,200000000,512,flow,circ,async,6.75229431
1,6,9,200000000,512,flow,circ,sync,6.233986824
1,6,9,200000000,512,smol1,circ,async,23.779662703
1,6,9,200000000,512,smol1,circ,sync,22.235629523
1,6,9,200000000,512,smoln,circ,async,10.792314555
1,6,9,200000000,512,smoln,circ,sync,10.349602841
2,6,11,200000000,512,flow,circ,async,7.716992404
2,6,11,200000000,512,flow,circ,sync,7.021709016
2,6,11,200000000,512,smol1,circ,async,28.502362888
2,6,11,200000000,512,smol1,circ,sync,26.411736818
2,6,11,200000000,512,smoln,circ,async,12.51922907
2,6,11,200000000,512,smoln,circ,sync,12.142476965
2,6,1,200000000,512,flow,circ,async,1.959291541
2,6,1,200000000,512,flow,circ,sync,1.944344941
2,6,1,200000000,512,smol1,circ,async,6.5030095249999995
2,6,1,200000000,512,smol1,circ,sync,6.340009917
2,6,1,200000000,512,smoln,circ,async,3.321573537
2,6,1,200000000,512,smoln,circ,sync,3.202729183
2,6,13,200000000,512,flow,circ,async,9.297564743
2,6,13,200000000,512,flow,circ,sync,8.09553909
2,6,13,200000000,512,smol1,circ,async,32.875553591
2,6,13,200000000,512,smol1,circ,sync,30.880535222
2,6,13,200000000,512,smoln,circ,async,14.659937952
2,6,13,200000000,512,smoln,circ,sync,14.005094125
2,6,15,200000000,512,flow,circ,async,9.53543942
2,6,15,200000000,512,flow,circ,sync,9.531169353
2,6,15,200000000,512,smol1,circ,async,37.543069687
2,6,15,200000000,512,smol1,circ,sync,34.833521874
2,6,15,200000000,512,smoln,circ,async,16.582411404
2,6,15,200000000,512,smoln,circ,sync,15.930381955
2,6,17,200000000,512,flow,circ,async,11.215314507
2,6,17,200000000,512,flow,circ,sync,10.942829818
2,6,17,200000000,512,smol1,circ,async,43.088296306
2,6,17,200000000,512,smol1,circ,sync,40.516656527
2,6,17,200000000,512,smoln,circ,async,18.187749454
2,6,17,200000000,512,smoln,circ,sync,17.555280531
2,6,19,200000000,512,flow,circ,async,13.199130505
2,6,19,200000000,512,flow,circ,sync,11.2704694
2,6,19,200000000,512,smol1,circ,async,47.28783678
2,6,19,200000000,512,smol1,circ,sync,43.404659364
2,6,19,200000000,512,smoln,circ,async,20.091523588
2,6,19,200000000,512,smoln,circ,sync,19.413364155
2,6,21,200000000,512,flow,circ,async,13.695696366
2,6,21,200000000,512,flow,circ,sync,13.084638165
2,6,21,200000000,512,smol1,circ,async,52.255541585
2,6,21,200000000,512,smol1,circ,sync,48.052056629
2,6,21,200000000,512,smoln,circ,async,22.093035019
2,6,21,200000000,512,smoln,circ,sync,21.331018938
2,6,23,200000000,512,flow,circ,async,15.416753252
2,6,23,200000000,512,flow,circ,sync,14.340682958
2,6,23,200000000,512,smol1,circ,async,58.262351412
2,6,23,200000000,512,smol1,circ,sync,53.519608207
2,6,23,200000000,512,smoln,circ,async,24.012445832
2,6,23,200000000,512,smoln,circ,sync,23.036548931
2,6,3,200000000,512,flow,circ,async,3.140201364
2,6,3,200000000,512,flow,circ,sync,2.933102368
2,6,3,200000000,512,smol1,circ,async,10.720444314
2,6,3,200000000,512,smol1,circ,sync,10.218919072
2,6,3,200000000,512,smoln,circ,async,5.248964715
2,6,3,200000000,512,smoln,circ,sync,5.10078119
2,6,5,200000000,512,flow,circ,async,4.304189274
2,6,5,200000000,512,flow,circ,sync,4.028887516
